Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1717,5.823459
Afghanistan,Afghani,AFN,0.0114,87.572436
Albania,Lek,ALL,0.006,166.511211
Armenia,Dram,AMD,0.0015,649.094961
Angola,Readj Kwanza,AOA,0.0066,150.756438
Argentina,Peso,ARS,0.1044,9.580773
Australia,Dollar,AUD,0.5887,1.698716
Aruba,Florin,AWG,0.3523,2.838246
Azerbaijan,New Manat,AZN,0.8049,1.24235
Bosnia- Herzegovinia,Marka,BAM,0.4314,2.318132
Barbados,Dollar,BBD,0.315,3.174632
Bangladesh,Taka,BDT,0.0081,123.287538
Bulgaria,Lev,BGN,0.4314,2.318082
Bahrain,Dinar,BHD,1.6729,0.597748
Burundi,Franc,BIF,0.0004,2463.063076
Bermuda,Dollar (US),BMD,0.6312,1.58439
Brunei,Dollar,BND,0.5013,1.994973
Bolivia,Boliviano,BOB,0.0913,10.95566
Brazil,Real,BRL,0.2816,3.551688
Bahamas,Dollar,BSD,0.6312,1.58439
Bhutan,Ngultrum,BTN,0.0104,95.733332
Botswana,Pula,BWP,0.0734,13.62353
Belarus,Rouble,BYR,0.0001,14485.59423
Belize,Dollar,BZD,0.3153,3.171282
Canada,Dollar,CAD,0.5998,1.667123
Congo (DemRep),Congo Fr,CDF,0.0007,1447.820423
Switzerland,Franc,CHF,0.6859,1.457903
Chile,Peso,CLP,0.0012,812.637711
China,Yuan,CNY,0.1031,9.697792
Colombia,Peso,COP,0.0003,3041.423846
Costa Rica,Colon,CRC,0.0012,800.230134
Cuba,Peso,CUP,0.6307,1.585617
Cape Verde Islands,Escudo,CVE,0.0077,129.296134
Czech Republic,Koruna,CZK,0.032,31.288415
Djibouti,Franc,DJF,0.0036,277.324653
Denmark,Krone,DKK,0.1131,8.841261
Dominican Republic,Peso,DOP,0.015,66.857996
Algeria,Dinar,DZD,0.0079,126.062557
Ecuador,Dollar,ECS,0.6312,1.58439
Egypt,Pound,EGP,0.0909,10.998159
Eritrea,Nakfa,ERN,0.0446,22.413994
Ethiopia,Birr,ETB,0.0333,29.991955
European Community,Euro,EUR,0.8436,1.185417
Fiji Islands,Dollar,FJD,0.3028,3.302976
Georgia,Lari,GEL,0.0446,22.412782
Ghana,Cedi,GHS,0.2876,3.476582
Gambia,Dalasi,GMD,0.0178,56.026905
Guinea Republic,Franc,GNF,0.0001,11127.27692
Guatemala,Quetzal,GTQ,0.0803,12.446438
Guyana,Dollar,GYD,0.0031,320.772346
Hong Kong,Dollar,HKD,0.0813,12.297534
Honduras,Lempira,HNL,0.0314,31.841978
Croatia,Kuna,HRK,0.1111,8.997532
Haiti,Gourde,HTG,0.0146,68.409605
Hungary,Forint,HUF,0.0028,355.054096
Indonesia,Rupiah,IDR,0.0001,17358.53654
Israel,Shekel,ILS,0.177,5.650203
India,Rupee,INR,0.0104,95.733332
Iraq,Dinar,IQD,0.0005,1841.446346
Iran,Rial,IRR,0,22404.01731
Iceland,Krona,ISK,0.0053,188.893884
Jamaica,Dollar,JMD,0.0061,162.911096
Jordan,Dinar,JOD,0.8911,1.122151
Japan,Yen,JPY,0.0063,158.325192
Kenya,Schilling,KES,0.0073,136.329173
Kyrgyz Republic,Som,KGS,0.0151,66.114298
Cambodia,Riel,KHR,0.0002,6355.799423
Comoros,Franc,KMF,0.0017,583.267134
Korea (North),Won,KPW,0.4852,2.061119
South Korea,Won,KRW,0.0006,1729.588269
Kuwait,Dinar,KWD,2.2227,0.449896
Cayman Islands,Dollar,KYD,0.7691,1.300207
Kazakhstan,Tenge,KZT,0.004,247.49325
Lao People's Dem Rep,Kip,LAK,0.0001,12452.84038
Lebanon,Pound,LBP,0.0004,2390.3125
Sri Lanka,Rupee,LKR,0.0049,206.1235
Lesotho,Loti,LSL,0.0626,15.973736
Lithuania,Litas,LTL,0.2444,4.092365
Libya,Dinar,LYD,0.5034,1.986651
Morocco,Dirham,MAD,0.0755,13.249678
Moldova,Leu,MDL,0.0491,20.384792
Madagascar,Malagasy Ariary,MGA,0.0003,3546.859615
Macedonia,Denar,MKD,0.0137,73.037817
Myanmar,Kyat,MMK,0.0007,1516.657115
Mongolia,Tugrik,MNT,0.0004,2534.99423
Macao,Pataca,MOP,0.0789,12.669376
Mauritania,Ouguiya,MRO,0.0021,468.37798
Mauritius,Rupee,MUR,0.0206,48.5412192
Maldive Islands,Rufiyaa,MVR,0.041,24.366065
Malawi,Kwacha,MWK,0.0017,604.846
Mexico,Mexican Peso,MXN,0.0489,20.439413
Malaysia,Ringgit,MYR,0.1974,5.066923
Mozambique,Metical,MZN,0.0208,47.967882
Nigeria,Naira,NGN,0.0039,254.236692
Nicaragua,Gold Cordoba,NIO,0.0252,39.627757
Norway,Norwegian Krone,NOK,0.1054,9.485832
Nepal,Rupee,NPR,0.0065,152.85648
New Zealand,Dollar,NZD,0.5175,1.932296
Oman,Rial,OMR,1.6381,0.610471
Panama,Balboa,PAB,0.6307,1.585617
Peru,New Sol,PEN,0.229,4.367671
Papua New Guinea,Kina,PGK,0.2601,3.84499
Philippines,Peso,PHP,0.0145,68.755323
Pakistan,Rupee,PKR,0.0061,163.388115
Poland,Zloty,PLN,0.2008,4.981088
Paraguay,Guarani,PYG,0.0001,6995.278653
Qatar,Riyal,QAR,0.1732,5.773226
Romania,New Leu,RON,0.1897,5.27033
Serbia,Dinar,RSD,0.0074,135.01548
Russia,Rouble,RUB,0.0195,51.232159
Rwanda,Franc,RWF,0.001,1046.674134
Saudi Arabia,Riyal,SAR,0.1682,5.945146
Soloman Islands,Dollar,SBD,0.0878,11.395278
Seychelles,Rupee,SCR,0.0526,19.00484
Sudan Republic,Pound,SDG,0.1294,7.730271
Sweden,Krona,SEK,0.0968,10.334775
Singapore,Dollar,SGD,0.5015,1.994125
Sierra Leone,Leone,SLL,0.0001,6861.479807
Somali Republic,Schilling,SOS,0.0005,1970.632884
Surinam,Dollar,SRD,0.1911,5.232471
Saotome & Principe,Dobra,STD,0,28147.85385
El Salvador,Colon,SVC,0.0721,13.8699
Syria,Pound,SYP,0.0053,188.354192
Swaziland,Lilangeni,SZL,0.0626,15.974261
Thailand,Baht,THB,0.0201,49.676876
Tajikistan,Somoni,TJS,0.0397,25.186496
Turkmenistan,New Manat,TMT,0.2216,4.51258
Tunisia,Dinar,TND,0.3857,2.593001
Tonga Islands,Pa'anga (AUS),TOP,0.5887,1.698716
Turkey,Turkish Lira,TRY,0.3149,3.175461
Trinidad/Tobago,Dollar,TTD,0.0983,10.169007
Taiwan,Dollar,TWD,0.0211,47.330036
Tanzania,Schilling,TZS,0.0004,2566.585576
Ukraine,Hryvnia,UAH,0.0759,13.177934
Uganda,Schilling,UGX,0.0002,4041.717307
USA,Dollar,USD,0.6312,1.58439
Uruguay,Peso,UYU,0.0299,33.429732
Uzbekistan,Sum,UZS,0.0003,3390.213269
Venezuela,Bolivar Fuerte,VEF,0.1002,9.975996
Vietnam,Dong,VND,0,33421.13077
Vanuatu,Vatu,VUV,0.0065,154.663769
Western Samoa,Tala,WST,0.2712,3.68773
Cameroon Republic,CFA Franc,XAF,0.0013,777.458673
Antigua,E Caribbean Dollar,XCD,0.2336,4.281115
Benin,CFA Franc,XOF,0.0013,777.458673
Fr. Polynesia,CFP Franc,XPF,0.0071,141.435269
Yemen (Rep of),Rial,YER,0.0029,340.972288
South Africa,Rand,ZAR,0.0626,15.977884
Zambia,Kwacha,ZMW,0.1153,8.674986
Zimbabwe,Dollar,ZWL,0.0017,600.03614
